TIME,COUNTRY,VALUE
2017M01,Norway,104.5
2017M01,Switzerland,99.15
2017M01,United Kingdom,101.4
2017M01,North Macedonia,100.89
2017M01,Serbia,103.2
2017M01,United States,101.43
2017M02,Belgium,104.00
2017M02,Bulgaria,99.80
2017M02,Czechia,102.7
2017M02,Denmark,100.7
2017M02,Germany (until 1990 former territory of the FRG),101.0
2017M02,Estonia,103.08
2017M02,Ireland,99.4
2017M02,Greece,99.69
2017M02,Spain,100.16
2017M02,France,100.73
2017M02,Croatia,99.70
2017M02,Italy,99.6
2017M02,Cyprus,97.99
2017M02,Latvia,101.86
2017M02,Lithuania,102.49
2017M02,Luxembourg,102.05
2017M02,Hungary,102.22
2017M02,Malta,98.87
2017M02,Netherlands,100.58
2017M02,Austria,102.13
2017M02,Poland,101.3
2017M02,Portugal,99.85
2017M02,Romania,99.18
2017M02,Slovenia,100.79
2017M02,Slovakia,100.55
2017M02,Finland,101.12
2017M02,Sweden,102.25
2017M02,Iceland,99.12
2017M02,Norway,105.0
2017M02,Switzerland,99.71
2017M02,United Kingdom,102.1
2017M02,North Macedonia,100.17
2017M02,Serbia,104.0
2017M02,United States,101.79
2017M03,Belgium,103.99
2017M03,Bulgaria,99.28
2017M03,Czechia,102.7
2017M03,Denmark,100.8
2017M03,Germany (until 1990 former territory of the FRG),101.3
2017M03,Estonia,103.46
2017M03,Ireland,100.0
2017M03,Greece,101.06
2017M03,Spain,101.29
2017M03,France,101.47
2017M03,Croatia,99.92
2017M03,Italy,101.5
2017M03,Cyprus,98.83
2017M03,Latvia,102.74
2017M03,Lithuania,103.58
2017M03,Luxembourg,101.98
2017M03,Hungary,102.21
2017M03,Malta,99.78
2017M03,Netherlands,101.03
2017M03,Austria,102.94
2017M03,Poland,101.3
2017M03,Portugal,101.86
2017M03,Romania,99.25
2017M03,Slovenia,101.14
2017M03,Slovakia,100.42
2017M03,Finland,101.10
2017M03,Sweden,102.25
2017M03,Iceland,98.54
2017M03,Norway,105.4
2017M03,Switzerland,99.85
2017M03,United Kingdom,102.5
2017M03,North Macedonia,100.78
2017M03,Serbia,104.3
2017M03,United States,101.87
2017M04,Belgium,104.35
2017M04,Bulgaria,99.74
2017M04,Czechia,102.8
2017M04,Denmark,101.1
2017M04,Germany (until 1990 former territory of the FRG),101.9
2017M04,Estonia,104.06
2017M04,Ireland,100.4
2017M04,Greece,101.72
2017M04,Spain,102.21
2017M04,France,101.57
2017M04,Croatia,100.60
2017M04,Italy,102.3
2017M04,Cyprus,99.78
2017M04,Latvia,103.19
2017M04,Lithuania,104.64
2017M04,Luxembourg,102.23
2017M04,Hungary,102.63
2017M04,Malta,102.35
2017M04,Netherlands,101.94
2017M04,Austria,103.27
2017M04,Poland,101.6
2017M04,Portugal,103.35
2017M04,Romania,99.46
2017M04,Slovenia,101.18
2017M04,Slovakia,100.56
2017M04,Finland,101.50
2017M04,Sweden,102.84
2017M04,Iceland,99.39
2017M04,Norway,105.5
2017M04,Switzerland,100.31
2017M04,United Kingdom,102.9
2017M04,North Macedonia,101.54
2017M04,Serbia,105.2
2017M04,United States,102.22
2017M05,Belgium,104.02
2017M05,Bulgaria,99.52
2017M05,Czechia,103.0
2017M05,Denmark,101.0
2017M05,Germany (until 1990 former territory of the FRG),101.8
2017M05,Estonia,104.41
2017M05,Ireland,100.2
2017M05,Greece,101.56
2017M05,Spain,102.16
2017M05,France,101.59
2017M05,Croatia,100.45
2017M05,Italy,102.2
2017M05,Cyprus,99.92
2017M05,Latvia,103.39
2017M05,Lithuania,104.42
2017M05,Luxembourg,102.11
