TIME,COUNTRY,AGE,VALUE
2008,Latvia,From 25 to 49 years,5472
2008,Latvia,From 25 to 54 years,5443
2008,Latvia,From 50 to 64 years,4808
2008,Latvia,From 55 to 64 years,4543
2008,Latvia,Less than 60 years,5228
2008,Latvia,60 years or over,3031
2008,Latvia,Less than 65 years,5173
2008,Latvia,From 65 to 74 years,0
2008,Latvia,65 years or over,2749
2008,Latvia,Less than 75 years,4915
2008,Latvia,75 years or over,2517
2008,Lithuania,Total,4111
2008,Lithuania,Less than 6 years,4533
2008,Lithuania,From 6 to 11 years,3933
2008,Lithuania,From 11 to 15 years,0
2008,Lithuania,From 12 to 17 years,3733
2008,Lithuania,Less than 16 years,4028
2008,Lithuania,From 16 to 24 years,4031
2008,Lithuania,From 16 to 64 years,4468
2008,Lithuania,16 years or over,4136
2008,Lithuania,Less than 18 years,4006
2008,Lithuania,From 18 to 24 years,4098
2008,Lithuania,From 18 to 64 years,4495
2008,Lithuania,18 years or over,4142
2008,Lithuania,From 25 to 49 years,4734
2008,Lithuania,From 25 to 54 years,4736
2008,Lithuania,From 50 to 64 years,4273
2008,Lithuania,From 55 to 64 years,4032
2008,Lithuania,Less than 60 years,4421
2008,Lithuania,60 years or over,3172
2008,Lithuania,Less than 65 years,4411
2008,Lithuania,From 65 to 74 years,0
2008,Lithuania,65 years or over,3076
2008,Lithuania,Less than 75 years,4240
2008,Lithuania,75 years or over,2912
2008,Luxembourg,Total,30917
2008,Luxembourg,Less than 6 years,28052
2008,Luxembourg,From 6 to 11 years,29961
2008,Luxembourg,From 11 to 15 years,0
2008,Luxembourg,From 12 to 17 years,27145
2008,Luxembourg,Less than 16 years,28405
2008,Luxembourg,From 16 to 24 years,28867
2008,Luxembourg,From 16 to 64 years,32092
2008,Luxembourg,16 years or over,31674
2008,Luxembourg,Less than 18 years,28405
2008,Luxembourg,From 18 to 24 years,29327
2008,Luxembourg,From 18 to 64 years,32332
2008,Luxembourg,18 years or over,31674
2008,Luxembourg,From 25 to 49 years,31635
2008,Luxembourg,From 25 to 54 years,31861
2008,Luxembourg,From 50 to 64 years,34712
2008,Luxembourg,From 55 to 64 years,36145
2008,Luxembourg,Less than 60 years,30917
2008,Luxembourg,60 years or over,31099
2008,Luxembourg,Less than 65 years,31228
2008,Luxembourg,From 65 to 74 years,0
2008,Luxembourg,65 years or over,30224
2008,Luxembourg,Less than 75 years,31108
2008,Luxembourg,75 years or over,29895
2008,Hungary,Total,4400
2008,Hungary,Less than 6 years,3909
2008,Hungary,From 6 to 11 years,3857
2008,Hungary,From 11 to 15 years,0
2008,Hungary,From 12 to 17 years,3847
2008,Hungary,Less than 16 years,3904
2008,Hungary,From 16 to 24 years,3959
2008,Hungary,From 16 to 64 years,4504
2008,Hungary,16 years or over,4483
2008,Hungary,Less than 18 years,3865
2008,Hungary,From 18 to 24 years,4054
2008,Hungary,From 18 to 64 years,4538
2008,Hungary,18 years or over,4507
2008,Hungary,From 25 to 49 years,4538
2008,Hungary,From 25 to 54 years,4559
2008,Hungary,From 50 to 64 years,4714
2008,Hungary,From 55 to 64 years,4744
2008,Hungary,Less than 60 years,4353
2008,Hungary,60 years or over,4501
2008,Hungary,Less than 65 years,4396
2008,Hungary,From 65 to 74 years,0
2008,Hungary,65 years or over,4414
2008,Hungary,Less than 75 years,4397
2008,Hungary,75 years or over,4436
2008,Malta,Total,10009
2008,Malta,Less than 6 years,8940
2008,Malta,From 6 to 11 years,8916
