"TIME","GEO","UNIT","ISCED11","ISCEDF13","SEX","Value"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Arts and humanities","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Social sciences, journalism and information","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Business, administration and law","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Natural sciences, mathematics and statistics","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Biology","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Biochemistry","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Environment","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Physical sciences","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Mathematics and statistics","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Information and Communication Technologies","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Engineering, manufacturing and construction","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Engineering and engineering trades","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Manufacturing and processing","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Architecture and construction","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Agriculture, forestry, fisheries and veterinary","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Health and welfare","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Health","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Dental studies","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Medicine, therapy and rehabilitation","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Welfare","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Care of the elderly and of disabled adults","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Child care and youth services","Total",":"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Social work and counselling","Total",":"
