DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2012,15170,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2013,15160,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2014,15480,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2015,16290,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2016,16670,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2017,17490,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2018,17990,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2019,18460,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2020,17340,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Czechia,2021,17920,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2000,28910,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2001,29370,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2002,29290,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2003,29100,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2004,29470,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2005,29730,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2006,30930,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2007,31920,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2008,32320,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2009,30580,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2010,31940,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2011,33200,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2012,33280,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2013,33330,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2014,33920,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2015,34130,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2016,34610,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2017,35410,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2018,35690,p
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2019,35980,p
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2020,34310,p
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Germany (until 1990 former territory of the FRG),2021,35290,p
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Denmark,2000,42190,
