TIME,SEX,COUNTRY,SIZECLAS,VALUE
2018,Total,Cyprus,Administrative and support service activities,1592
2018,Total,Cyprus,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2347
2018,Total,Cyprus,Public administration and defence; compulsory social security,2202
2018,Total,Cyprus,Education; human health and social work activities; arts entertainment and recreation; other service activities,2428
2018,Total,Cyprus,Education,2793
2018,Total,Cyprus,Human health and social work activities,2082
2018,Total,Cyprus,Arts entertainment and recreation,2027
2018,Total,Cyprus,Other service activities,1437
2018,Total,Latvia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1162
2018,Total,Latvia,Industry construction and services (except public administration defense compulsory social security),1158
2018,Total,Latvia,Business economy,1203
2018,Total,Latvia,Industry and construction,1125
2018,Total,Latvia,Industry (except construction),1095
2018,Total,Latvia,Mining and quarrying,1325
2018,Total,Latvia,Manufacturing,1082
2018,Total,Latvia,Electricity gas steam and air conditioning supply,1198
2018,Total,Latvia,Water supply; sewerage waste management and remediation activities,1038
2018,Total,Latvia,Construction,1198
2018,Total,Latvia,Services (except activities of households as employers and extra-territorial organisations and bodies),1173
2018,Total,Latvia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1170
2018,Total,Latvia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1199
2018,Total,Latvia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1072
2018,Total,Latvia,Transportation and storage,1158
2018,Total,Latvia,Accommodation and food service activities,875
2018,Total,Latvia,Information and communication,2096
2018,Total,Latvia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1364
2018,Total,Latvia,Financial and insurance activities,1948
2018,Total,Latvia,Real estate activities,1072
2018,Total,Latvia,Professional scientific and technical activities,1650
2018,Total,Latvia,Administrative and support service activities,1085
2018,Total,Latvia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1080
2018,Total,Latvia,Public administration and defence; compulsory social security,1197
2018,Total,Latvia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1038
2018,Total,Latvia,Education,889
2018,Total,Latvia,Human health and social work activities,1318
2018,Total,Latvia,Arts entertainment and recreation,927
2018,Total,Latvia,Other service activities,1058
2018,Total,Lithuania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),981
2018,Total,Lithuania,Industry construction and services (except public administration defense compulsory social security),970
2018,Total,Lithuania,Business economy,982
2018,Total,Lithuania,Industry and construction,989
2018,Total,Lithuania,Industry (except construction),1004
2018,Total,Lithuania,Mining and quarrying,1211
2018,Total,Lithuania,Manufacturing,998
2018,Total,Lithuania,Electricity gas steam and air conditioning supply,1174
2018,Total,Lithuania,Water supply; sewerage waste management and remediation activities,937
2018,Total,Lithuania,Construction,946
2018,Total,Lithuania,Services (except activities of households as employers and extra-territorial organisations and bodies),978
2018,Total,Lithuania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),961
2018,Total,Lithuania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,934
2018,Total,Lithuania,Wholesale and retail trade; repair of motor vehicles and motorcycles,887
2018,Total,Lithuania,Transportation and storage,887
2018,Total,Lithuania,Accommodation and food service activities,697
2018,Total,Lithuania,Information and communication,1694
2018,Total,Lithuania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1100
2018,Total,Lithuania,Financial and insurance activities,1663
2018,Total,Lithuania,Real estate activities,869
2018,Total,Lithuania,Professional scientific and technical activities,1360
2018,Total,Lithuania,Administrative and support service activities,793
2018,Total,Lithuania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,980
2018,Total,Lithuania,Public administration and defence; compulsory social security,1121
